Country,Date Program/ Agency Established,Satellites Currently in Orbit/GSO,Moon Treaty Participant,Moon Treaty Participant Numeric,Space Travelling Astronauts,Outer Space Treaty Signatory,Outer Space Treaty Signatory Numeric,OST Date of Signature 1,OST Date of Signature,OST Year of Signature,OST Consent to be bound,OST Consent to be Bound Year,National Space Agency or Program,National Space Agency or Program Numeric,Name of Space Agency or Program,Artemis Accords Signatory,Artemis Accords Signatory Numeric
Congo DRC,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Cook Islands,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Costa Rica,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Côte d'Ivoire,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Croatia,,0,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,"March 10, 2023",2023,No,0,N/A,No,0
Cuba,,0,No,0,1,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Cyprus,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"July 5, 1972",1972,No,0,N/A,Yes,1
Czech Republic,,8,No,0,1,Yes,1.00,#N/A,#N/A,#N/A,"January 1, 1993",1993,No,0,N/A,Yes,1
Denmark,,8,No,0,1,Yes,1.00,01-27-1967,"January 27, 1967",1967,"October 10, 1967",1967,Yes,1,"Danish Agency for Science and Higher Education (DASHE)
",Yes,1
Djibouti,,2,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Dominica,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Dominican Republic,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"November 21, 1968",1968,No,0,N/A,Yes,1
East Timor,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Ecuador,,2,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"March 7, 1969",1969,No,0,N/A,Yes,1
Egypt,,13,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"October 10, 1967",1967,Yes,1,Egyptian Space Agency (EgSA),No,0
El Salvador,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"January 15, 1969",1969,No,0,N/A,No,0
Equatorial Guinea,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Eritrea,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
